"city_id","city","country_id","last_update"
9,"Ahmadnagar",44,"2006-02-15 09:45:25"
22,"Ambattur",44,"2006-02-15 09:45:25"
50,"Balikesir",97,"2006-02-15 09:45:25"
63,"Bchar",2,"2006-02-15 09:45:25"
73,"Bhavnagar",44,"2006-02-15 09:45:25"
78,"Bijapur",44,"2006-02-15 09:45:25"
107,"Chandrapur",44,"2006-02-15 09:45:25"
117,"Cianjur",45,"2006-02-15 09:45:25"
161,"Escobar",6,"2006-02-15 09:45:25"
163,"Eskisehir",97,"2006-02-15 09:45:25"
176,"Gandhinagar",44,"2006-02-15 09:45:25"
197,"Halisahar",44,"2006-02-15 09:45:25"
208,"Hoshiarpur",44,"2006-02-15 09:45:25"
231,"Jaipur",44,"2006-02-15 09:45:25"
234,"Jamalpur",12,"2006-02-15 09:45:25"
243,"Jodhpur",44,"2006-02-15 09:45:25"
264,"Katihar",44,"2006-02-15 09:45:25"
292,"Lancaster",103,"2006-02-15 09:45:25"
322,"Manchester",103,"2006-02-15 09:45:25"
337,"Mit Ghamr",29,"2006-02-15 09:45:25"
353,"Nador",62,"2006-02-15 09:45:25"
402,"Pavlodar",51,"2006-02-15 09:45:25"
427,"Rampur",44,"2006-02-15 09:45:25"
461,"Santo Andr",15,"2006-02-15 09:45:25"
472,"Shikarpur",72,"2006-02-15 09:45:25"
510,"Syktyvkar",80,"2006-02-15 09:45:25"
512,"Szkesfehrvr",43,"2006-02-15 09:45:25"
550,"Udaipur",44,"2006-02-15 09:45:25"
565,"Vancouver",20,"2006-02-15 09:45:25"
582,"Yamuna Nagar",44,"2006-02-15 09:45:25"
583,"Yangor",65,"2006-02-15 09:45:25"
593,"Zanzibar",93,"2006-02-15 09:45:25"
600,"Ziguinchor",83,"2006-02-15 09:45:25"
